timestamp;buyer;seller;symbol;currency;price;quantity
100;;;GOLD;DOLLARS;10002.0;1
300;;;SILVER;DOLLARS;2029.0;6
300;;;GOLD;DOLLARS;9998.0;2
300;;;GOLD;DOLLARS;9998.0;1
300;;;BRONZE;DOLLARS;1965.0;6
500;;;SILVER;DOLLARS;2031.0;1
500;;;GOLD;DOLLARS;10004.0;1
500;;;GOLD;DOLLARS;10002.0;1
500;;;BRONZE;DOLLARS;1970.0;1
1300;;;SILVER;DOLLARS;2031.0;2
1300;;;BRONZE;DOLLARS;1970.0;2
1300;;;BRONZE;DOLLARS;1968.0;5
1400;;;SILVER;DOLLARS;2029.0;1
1400;;;BRONZE;DOLLARS;1969.0;1
1500;;;SILVER;DOLLARS;2032.0;1
1500;;;GOLD;DOLLARS;10002.0;1
1500;;;BRONZE;DOLLARS;1971.0;1
1700;;;GOLD;DOLLARS;10005.0;6
2000;;;SILVER;DOLLARS;2030.0;7
2000;;;BRONZE;DOLLARS;1972.0;7
2400;;;BRONZE;DOLLARS;1975.0;10
2700;;;GOLD;DOLLARS;9998.0;5
2800;;;SILVER;DOLLARS;2033.0;1
2900;;;GOLD;DOLLARS;9998.0;1
3100;;;SILVER;DOLLARS;2031.0;1
3100;;;BRONZE;DOLLARS;1972.0;1
3300;;;GOLD;DOLLARS;9996.0;2
3300;;;GOLD;DOLLARS;9996.0;2
3700;;;SILVER;DOLLARS;2033.0;1
3700;;;BRONZE;DOLLARS;1973.0;1
3700;;;BRONZE;DOLLARS;1972.0;4
3800;;;SILVER;DOLLARS;2030.0;11
3800;;;BRONZE;DOLLARS;1971.0;11
4200;;;SILVER;DOLLARS;2030.0;3
4200;;;SILVER;DOLLARS;2030.0;2
4200;;;BRONZE;DOLLARS;1971.0;3
4200;;;BRONZE;DOLLARS;1971.0;2
4300;;;SILVER;DOLLARS;2030.0;1
4300;;;GOLD;DOLLARS;9996.0;2
4300;;;GOLD;DOLLARS;9995.0;1
4300;;;GOLD;DOLLARS;9996.0;1
4300;;;BRONZE;DOLLARS;1970.0;1
4400;;;SILVER;DOLLARS;2030.0;1
4400;;;GOLD;DOLLARS;9998.0;1
4400;;;BRONZE;DOLLARS;1971.0;1
4800;;;SILVER;DOLLARS;2031.0;1
4800;;;GOLD;DOLLARS;10002.0;3
4800;;;BRONZE;DOLLARS;1973.0;1
4900;;;GOLD;DOLLARS;9998.0;1
4900;;;GOLD;DOLLARS;9998.0;4
5400;;;SILVER;DOLLARS;2030.0;6
5400;;;BRONZE;DOLLARS;1973.0;6
6300;;;SILVER;DOLLARS;2029.0;1
6300;;;BRONZE;DOLLARS;1973.0;1
6700;;;GOLD;DOLLARS;10002.0;4
6800;;;SILVER;DOLLARS;2029.0;2
6800;;;GOLD;DOLLARS;9998.0;1
6800;;;GOLD;DOLLARS;9996.0;1
6800;;;GOLD;DOLLARS;9996.0;1
6800;;;BRONZE;DOLLARS;1975.0;1
6800;;;BRONZE;DOLLARS;1975.0;1
6900;;;SILVER;DOLLARS;2032.0;1
6900;;;BRONZE;DOLLARS;1975.0;1
7200;;;SILVER;DOLLARS;2033.0;1
7200;;;GOLD;DOLLARS;10004.0;1
7200;;;BRONZE;DOLLARS;1979.0;1
7300;;;SILVER;DOLLARS;2030.0;15
7300;;;BRONZE;DOLLARS;1975.0;15
7400;;;GOLD;DOLLARS;10002.0;1
7700;;;SILVER;DOLLARS;2032.0;1
7700;;;SILVER;DOLLARS;2032.0;1
7700;;;GOLD;DOLLARS;10005.0;1
7700;;;BRONZE;DOLLARS;1976.0;1
7700;;;BRONZE;DOLLARS;1976.0;1
7800;;;SILVER;DOLLARS;2032.0;1
7800;;;BRONZE;DOLLARS;1976.0;1
7900;;;SILVER;DOLLARS;2032.0;1
7900;;;GOLD;DOLLARS;10002.0;1
7900;;;BRONZE;DOLLARS;1974.0;1
8100;;;SILVER;DOLLARS;2033.0;14
8100;;;BRONZE;DOLLARS;1976.0;14
8200;;;GOLD;DOLLARS;9998.0;1
8300;;;SILVER;DOLLARS;2033.0;11
8300;;;BRONZE;DOLLARS;1980.0;11
8900;;;GOLD;DOLLARS;10002.0;5
9300;;;SILVER;DOLLARS;2032.0;4
9600;;;SILVER;DOLLARS;2032.0;1
9600;;;SILVER;DOLLARS;2032.0;1
9600;;;SILVER;DOLLARS;2030.0;6
9600;;;BRONZE;DOLLARS;1983.0;1
9600;;;BRONZE;DOLLARS;1983.0;1
10100;;;SILVER;DOLLARS;2032.0;4
10300;;;SILVER;DOLLARS;2033.0;2
10300;;;GOLD;DOLLARS;10004.0;2
10300;;;BRONZE;DOLLARS;1985.0;2
10600;;;GOLD;DOLLARS;9998.0;1
10600;;;GOLD;DOLLARS;9998.0;1
10700;;;SILVER;DOLLARS;2029.0;6
10700;;;BRONZE;DOLLARS;1981.0;6
10800;;;SILVER;DOLLARS;2029.0;1
10800;;;GOLD;DOLLARS;10002.0;1
10800;;;BRONZE;DOLLARS;1981.0;1
11100;;;GOLD;DOLLARS;9996.0;2
11300;;;SILVER;DOLLARS;2033.0;6
11300;;;BRONZE;DOLLARS;1983.0;6
11400;;;GOLD;DOLLARS;9998.0;1
